gene
Fos
Cxcl2
Zfp36
Fosb
Dusp1
Atf3
Cxcl8
Nr4a1
Cxcl3
Ppp1r15a
Junb
Egr1
Hspa1a
Hspa1b
Socs3
Klf6
Jun
Ier2
Cxcl1
Nfkbia
Hspa6
Dnajb1
Ier3
Ccnl1
Mtrnr2l2
Ier5
Id1
Cebpd
Krt6a
Cyr61
Depp1
Cldn4
Irf1
Dusp2
Btg2
Plaur
Maff
Klf4
Phlda2
Tnfaip3
Klf10
Ncoa7
Elf3
Hes1
Zfand2a
Mtrnr2l8
Ifrd1
Ldlr
Myc
Mcl1
Nr4a2
Krt17
Rhob
Jund
Pmaip1
Nfkbiz
Zc3h12a
Edn1
Sertad1
Klf2
Trib1
Birc3
Tcim
Sox9
Mtrnr2l10
Icam1
Gadd45b
Hbb
Cdkn1a
Hsph1
Hspb1
Emp1
Rasd1
Dnaja1
Sat1
Csrnp1
Rhov
Pnrc1
Pim1
Hbd
Anxa1
Tm4sf1
Ctgf
Ube2s
Dnaja4
Cldn3
Gprc5a
Hsp90aa1
Cd55
Areg
Ubc
Id2
S100a9
S100p
Efna1
Pde4b
Ints6
Tob1
Krt18
Lmna
Il32
Map3k8
Neat1
Krt19
Clk1
Ccl20
Herpud1
Irf2bp2
Itpkc
Gadd45a
Dnajb4
Fgfbp2
Tnfaip2
Rel
Krt5
Nupr2
Stat3
Nampt
Cebpb
Zfp36l1
Hes4
Tra2b
Nfatc1
Pim3
Tra2a
Plat
Bag3
Msln
Hist1h2bg
Bhlhe40
Ppp1r14b
Vmp1
Acbd3
Zfand5
Serpinb5
Azgp1
Hspa8
Brd2
Lcn2
Tacstd2
Sqstm1
Krt8
Tnfrsf12a
Rab11fip1
Tmem54
Rarres1
Hebp2
Rab25
Selenom
Creg1
Bri3
Rps21
Nd2
Ppia
Rplp2
Fus
Perp
S100a10
Rpl37
Rpl37a
Tagln2
Arf1
Cd24
Malat1
Fau
Nd1
Rps29
Rpl38
Hspe1
Tpt1
Sccpdh
Rpl23
Rps12
Hsp90ab1
Eef1a1
Rpl22
Tnf
Arhgdib
Map1lc3b
Cytb
Cstb
Cldn1
Tubb2a
Plk3
Chi3l2
Rpl22l1
Cd82
Slc38a2
Na
Atf4
Ppp1r15b
Loc284454
Ywhaz
Pck1
Bambi
Sod2
Egot
Hist1h2bn
Slc25a25
Npdc1
Linc00346
Atp6
Snhg8
Sfn
Myadm
Snhg15
Ing1
Zfp36l2
Mylip
Nfe2l2
Tstd1
Rcan1
Egr2
Lypd3
Hspa5
Hnrnpa2b1
Anxa3
Id3
Ccnd1
Tnfaip6
Lsr
Isg15
Ezr
Ckb
Ankrd37
Cenpw
Apod
Ttyh1
Krt16
Ctsh
Btg3
Hspd1
Nd3
Son
Hdgf
Skil
Sdc4
Amtn
Insig1
Pdzk1ip1
Rufy3
Sertad2
Sf1
Ddx5
S100a8
Hmgcs1
Nd4l
Tubb4b
Nfatc2
Dsg3
Sema4a
Gnb2
Plk2
Slpi
Tomm20
Cryab
Dedd2
Rbm39
Krt23
Cdv3
Llgl2
Vasp
Gabrp
Rsrp1
Lamb3
Mtrnr2l1
Bbc3
Eif4a3
Opa3
Prss22
Selenos
Hsbp1l1
Dus1l
Bcl3
Plpp5
Ddx21
Ube2h
Fdcsp
Eif5a
Mafb
Sdf4
Ubald2
Afdn
Zfas1
Ptms
Tcp1
Irf6
Ccl28
Arc
Krt14
Krt6b
Sgk1
Loc105369332
F3
Ccl2
Bspry
Hmga1
Tgif1
Sap30
Cldn7
C6orf132
Plpp2
Egr3
Marcks
Ccdc71l
S100a14
Osr2
Chmp1b
Bcl7c
Ube2m
Errfi1
Rgs16
Dnajb6
Xbp1
Hbz
Aldh1a3
Midn
Atp5f1b
Fxyd3
Irs2
Tymp
Zdhhc12
Klf5
Ifi30
Cars2
Selenok
Vim
Yme1l1
Ctsd
Sqle
Kcmf1
Arl5b
Metrn
Slc39a4
Tiparp
Tent5b
Itgb8
Pdlim3
Wee1
Eif4a2
Cdkn1c
Stard10
Snhg7
Rgs10
Epcam
Baz1a
Fbxo32
Phlda1
Peli1
Gipc1
Jup
Jmjd6
Cxcl10
Reep3
Qprt
Tuba1a
Rbp7
Smap1
Foxc1
Rsrc2
Cxcl16
Dusp5
Syap1
Neu1
Eci1
Rnd3
Arsd
Ets2
Caps
Sfpq
Actn4
Cdc42ep4
Cx3cl1
Tuba4a
S100a7
Rax
Abhd5
Serpinh1
Slc25a33
Cfd
Hbegf
Baiap2
Tmub1
Ptp4a1
Dpp7
Slc3a2
Fam89b
Kcnq1ot1
Odf3b
Ddit3
Krt7
Arih1
Fscn1
Mturn
Gnb1
Fam173a
Bace2
Traf4
Ube2q1
Krtcap2
Spats2l
Mafg
Nfkbid
Enah
Anxa11
Smim22
Arrdc1
Cct2
Cgref1
Rras
Mapk13
Vgll1
Noc2l
Mgp
Ppp1r35
Rac3
H2afx
Idi1
Mal2
Cnfn
Psenen
Twistnb
Crb3
Atg101
Nedd9
Cst6
Map7d1
Erf
Mesp2
Gas6
Sertad3
Cks2
Mesp1
Cflar
Dnajb11
S100a2
Tspan15
Cbx4
Tsc22d2
Na
Cmtm8
Taf1d
Top1
Tincr
Hist1h4c
Slc20a1
Tuba1c
Arl8a
Cxcr4
Pqlc1
Mxd1
Fam241a
Cdc34
Pgf
Clic3
Lad1
Znf296
Nudt8
Dlx5
Phlda3
Zg16b
Ahsa1
Tdg
Mfsd10
Pglyrp4
Klhdc7b
Muc1
Rpp25
Prrx2
Capn1
Tmbim1
Gls
Klk5
Ctxn1
Tob2
Mrpl23
Bcl7b
Spsb1
Elfn1-as1
Mlf1
Tm4sf1-as1
Ttll4
Col9a3
Kpna2
Taf10
Naprt
Mxd4
Mxra8
Tes
Pxdc1
Stk17a
Ugdh
Mgll
Abhd3
Lgalsl
Loc102724889
Rgs2
Map2k3
Kdm6b
Alyref
Na
Pi3
Yrdc
Cd14
Gcnt2
Odam
Abl2
Sowahc
Per2
Col1a1
Mmp7
Csn3
